[INFO   | api_client           | L41] 2025-05-25T08:07:18+0530: fetch_api_data(date=09-01-2024, range_param=1) | api_client.py
[INFO   | api_client           | L55] 2025-05-25T08:08:00+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L113] 2025-05-25T08:08:00+0530: Fetched raw data for 09-01-2024 in 41.996907 seconds | api_client.py
[INFO   | data_cleaner           | L15] 2025-05-25T08:08:00+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L22] 2025-05-25T08:08:43+0530: clean_and_parse_data produced 8628 records | data_cleaner.py
[INFO   | api_client           | L118] 2025-05-25T08:08:43+0530: Cleaned raw data for 09-01-2024 in 42.340631 seconds | api_client.py
[INFO   | influx_writer           | L46] 2025-05-25T08:08:43+0530: Creating new file output\tmp_52132.txt | influx_writer.py
[INFO   | influx_writer           | L59] 2025-05-25T08:08:53+0530: write_to_influxdb called with filename=output\tmp_52132.txt, args=Namespace(mode='daily', date=None, startdate='09-01-2024', enddate='05-05-2025', range=None, db_write=True, override=True, retain_file=True, debug=True, delay=120, use_db_params=False, db_host=None, db_org=None), batch_size=3000 | influx_writer.py
[INFO   | influx_writer           | L64] 2025-05-25T08:08:53+0530: Connecting to InfluxDB at https://eu-central-1-1.aws.cloud2.influxdata.com, org=Blast Furnace, Evonith | influx_writer.py
[INFO   | influx_writer           | L86] 2025-05-25T08:08:53+0530: Writing to bucket: bf2_evonith_raw | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-25T08:09:03+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-25T08:09:03+0530: Wrote batch of 3000 lines to InfluxDB. Total written: 3000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-25T08:09:33+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-25T08:09:33+0530: Wrote batch of 3000 lines to InfluxDB. Total written: 6000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-25T08:10:03+0530: Successfully connected to InfluxDB | influx_writer.py
[INFO   | influx_writer           | L101] 2025-05-25T08:10:03+0530: Wrote batch of 3000 lines to InfluxDB. Total written: 9000. | influx_writer.py
[INFO   | influx_writer           | L99] 2025-05-25T08:10:33+0530: Successfully connected to InfluxDB | influx_writer.py
